Strategy,MinProcessingTime,MaxProcessingTime,AvgProcessingTime,MinStartUpTime,MaxStartUpTime,AvgStartUpTime,MinNextResponseTime,MaxNextResponseTime,AvgNextResponseTime,MinBatchProcessingTime,MaxBatchProcessingTime,AvgBatchProcessingTime,MinBatchSize,MaxBatchSize,AvgBatchSize,minSequenceLength,maxSequenceLength,AvgSequenceLength,MinWaitTime,MaxWaitTime,AvgWaitTime,TotalSentQueries,TotalBatches,TotalExecutionTime
fixed_p32_d500%1000,547186055,4821302113,2706862219,85865927,336409840,128723635,1834779,9360533146,1499642518,494027,19112129806,2903621403,1,4,1,1,6,3,546,4820,2705,118,61,177498075315
fixed_p32_d500%1000,533798416,5029182840,2678772131,81795437,268290287,125822070,1933957,8132378562,1419995235,345729,13214429884,2750678981,1,4,1,1,6,3,533,5028,2677,118,61,168111354335
fixed_p32_d500%1000,629264087,5143187675,2709439131,89064309,432107875,123804878,1339794,8456919759,1488400187,349125,12274733354,2880857620,1,4,1,1,6,3,628,5139,2707,118,61,176072599070
fixed_p32_d5000%10000,6060358467,50416122599,26873113765,87153259,176169617,113304903,4205183,50428186839,12652982959,450304,50429170858,24477742256,1,4,1,1,6,3,6059,50415,26871,118,61,1493483269787
fixed_p32_d5000%10000,6392040085,49726960876,27142846959,88011516,248428661,117579453,9518810,49415173278,12750982789,381698,49738108451,24667734937,1,4,1,1,6,3,6391,49726,27141,118,61,1505056723922
fixed_p32_d5000%10000,5111796248,47833098469,26438761116,84518246,464212788,115146627,59448730,47843952462,12343321374,370243,47847571307,23878782561,1,4,1,1,6,3,5111,47832,26437,118,61,1456967284621
fixed_p4_d0%0,334366,2093052,653202,82316667,147058354,102367854,1441268,13460683647,2819104386,494751,21706554623,5454834561,1,4,1,1,6,3,0,0,0,118,61,333107916915
fixed_p4_d0%0,346490,2017720,615270,83593977,345598000,108052434,1357513,12940090995,3251433806,503909,26991607857,6290937613,1,4,1,1,6,3,0,0,0,118,61,384033759747
fixed_p4_d0%0,350848,2163728,616502,80989586,329265269,109055943,1007525,14763293606,3051527417,377045,28719857995,5904593758,1,4,1,1,6,3,0,0,0,118,61,360461578574
fixed_p4_d0%0,334002,1813297,600837,79993138,286210691,105036817,1062895,17459733797,3128477729,398036,22483797802,6053086119,1,4,1,1,6,3,0,0,0,118,61,369532424392
fixed_p4_d100%150,126237332,769010799,451754295,84064112,304059311,108345264,1391220,13875862030,2934021296,401609,20233865049,5678993028,1,4,1,1,6,3,125,768,450,118,61,346709513661
fixed_p4_d100%150,109041264,801108291,445231489,81951725,288229300,104895699,1274194,20125911896,2872518607,583006,25477801375,5559405128,1,4,1,1,6,3,108,800,444,118,61,339447691303
fixed_p4_d100%150,122377396,833238462,449835549,82453416,226328130,108808687,1397734,19492396541,3073747803,359218,24782411659,5948410055,1,4,1,1,6,3,121,832,448,118,61,363129196090
fixed_p4_d3000%5000,3393433308,25458860507,14303830435,85155038,269877454,110490185,24024099,29385390530,9527884503,392704,49214573469,18432900351,1,4,1,1,6,3,3392,25458,14302,118,61,1124729447324
fixed_p4_d500%1000,514783683,5234239575,2669944749,79560779,431394904,111327455,1123036,25166956647,4209472874,338492,28313950818,8145073971,1,4,1,1,6,3,513,5233,2668,118,61,497305547178
fixed_p4_d500%1000,639146070,4917207763,2684302038,83939408,296248531,113067140,19960183,19720272466,3477798642,511087,21925850292,6729124135,1,4,1,1,6,3,638,4916,2682,118,61,410776656861
fixed_p4_d5000%10000,5610126668,53964698909,26959807654,87050128,343649768,109703780,66757572,55589981639,15014915494,432812,68688097243,29046786608,1,4,1,1,6,3,5608,53964,26958,118,61,1772179582724
fixed_p4_d5000%10000,6159222829,48658123908,26832044534,88727477,236042034,109120359,1564287,48669006099,15067835505,496053,61905924990,29149390204,1,4,1,1,6,3,6156,48657,26830,118,61,1778446872489
fixed_p64_d0%0,313929,2044848,553096,85511846,323937600,139794244,741603,9107771452,296639701,330846,14134428072,576353328,1,4,1,1,6,3,0,0,0,118,61,35446525042
fixed_p64_d0%0,294086,3892376,615716,88371689,340355944,139219579,793789,15935438449,263317077,351247,20951713091,510464372,1,4,1,1,6,3,0,0,0,118,61,31393963538
fixed_p64_d100%150,117379686,813632142,453470464,89933001,332524658,132781160,993307,5294872244,415082086,386315,10677052712,804545761,1,4,1,1,6,3,116,812,452,118,61,49396380337
fixed_p64_d100%150,121872938,808910537,453236491,92063289,401532817,143248553,1387844,10754820118,362644925,509107,11425511483,703824093,1,4,1,1,6,3,121,808,451,118,61,43325027260
fixed_p64_d100%150,107696420,791612254,452008948,87740649,246060533,129071675,1030023,5576908432,402136616,498132,11761038747,779415529,1,4,1,1,6,3,106,790,450,118,61,47950422866
fixed_p64_d3000%5000,3650721342,26977926322,14488382860,92456141,260259080,120310742,1707542,26991332918,6756639734,533967,26992299353,13071909870,1,4,1,1,6,3,3650,26977,14486,118,61,797679755371
fixed_p64_d500%1000,538345653,5451205560,2705600363,87013490,326228828,124024140,1582880,4850114128,1279509117,409179,5461625044,2477220764,1,4,1,1,6,3,537,5450,2703,118,61,151557641064
fixed_p64_d5000%10000,6252734831,49824222196,26908789818,89911783,3169564805,192464679,19082316,49837821894,12488137219,488621,49839413286,24159169520,1,4,1,1,6,3,6252,49823,26907,118,61,1474019970791
fixed_p64_d5000%10000,5725337025,49024766616,27149664590,89429494,217350463,117512339,32149192,48213643409,12716656740,446256,49036025987,24601589367,1,4,1,1,6,3,5724,49023,27148,118,61,1500963490985
fixed_p8_d0%0,339948,2279034,643799,85331822,347282859,116023330,864073,10881172173,1808032331,335944,17189512310,3499948895,1,4,1,1,6,3,0,0,0,118,61,213992489730
fixed_p8_d0%0,295024,1863871,673786,83925322,310477602,110740321,933872,13590302544,1730858481,361222,23166464684,3349781508,1,4,1,1,6,3,0,0,0,118,61,204645672758
fixed_p8_d0%0,332084,1640401,661941,85019502,405080272,114031854,855974,17009904789,1963327344,300093,22835803044,3800418172,1,4,1,1,6,3,0,0,0,118,61,232184581883
fixed_p8_d0%0,330509,7284063,681414,83417899,219649962,113201499,867651,10284077651,1904822717,502798,15790796787,3686336043,1,4,1,1,6,3,0,0,0,118,61,225163911392
fixed_p8_d100%150,118178891,794994077,454385890,86483286,325766330,113985551,1379518,9530666184,1847437861,416998,14668152560,3575051374,1,4,1,1,6,3,117,794,453,118,61,218438103332
fixed_p8_d100%150,114783281,839075710,451976700,83025233,225811017,111674256,972876,13892014718,1906008758,297123,20549635092,3689802670,1,4,1,1,6,3,114,838,450,118,61,225396184929
fixed_p8_d100%150,124351216,793168560,450212129,85303739,320373155,109274651,1856553,21263995475,2125511634,407802,30339988706,4113227452,1,4,1,1,6,3,123,792,449,118,61,251201019480
fixed_p8_d3000%5000,3105345992,26783122118,14158193257,90449926,306438507,114894012,37951664,26794903716,7175871500,533418,26796050402,13883126641,1,4,1,1,6,3,3104,26782,14156,118,61,847271068245
fixed_p8_d3000%5000,3959588594,26742101516,14395184925,85892044,255822843,111993145,39484811,24845242039,7178121638,526404,27230422690,13887330931,1,4,1,1,6,3,3954,26741,14393,118,61,847504670809
fixed_p8_d3000%5000,3338926331,26783172867,14607252102,83686306,269684065,112338826,84161147,24686958210,7081569316,471414,26794120626,13701118073,1,4,1,1,6,3,3338,26781,14605,118,61,836091441839
fixed_p8_d500%1000,528239156,5344440500,2719675452,92520687,197282441,114819247,7885287,18628197126,2286898478,367582,19518531588,4425690125,1,4,1,1,6,3,527,5343,2718,118,61,270281659254
fixed_p8_d500%1000,520118779,4882453118,2721606232,85864143,361405619,120850827,2088685,20185436834,2326055693,516018,22445343731,4501925672,1,4,1,1,6,3,519,4881,2720,118,61,275235365499
fixed_p8_d5000%10000,5534817731,48063034996,26571432304,82927532,304032084,106938161,37286542,43993887745,12676878246,313020,48072451039,24524031693,1,4,1,1,6,3,5534,48062,26570,118,61,1496298830785
fixed_p8_d5000%10000,8204156577,51196134344,26444431744,82216105,340766965,106842737,21503827,49253518428,12438276075,428858,51208865445,24062372957,1,4,1,1,6,3,8203,51195,26443,118,61,1468101785042
fixed_p8_d5000%10000,5160066664,49347978294,27366714381,86099389,864728448,117996453,5200339,48485247129,13020458151,567392,49359824633,25188911915,1,4,1,1,6,3,5159,49347,27365,118,61,1536869476226
fixed_p8_d5000%10000,7118303292,49978621286,27050513161,87452828,371147529,116894450,36328795,49989604276,12860604641,684394,49992845038,24880302918,1,4,1,1,6,3,7117,49977,27049,118,61,1518040982382
keda_p0_hpa15_d0%0,333524,2345689,652762,84658128,280955077,106143057,1969901,20559153873,3225188448,404236,35168508109,6240473498,1,4,1,1,6,3,0,0,0,118,61,381000253741
keda_p0_hpa15_d0%0,334279,1848674,629764,78885596,181636749,102163394,1043437,12409772683,2963806893,311994,17775268480,5734895803,1,4,1,1,6,3,0,0,0,118,61,350118645477
keda_p0_hpa15_d0%0,361313,2225717,718612,89380552,205530109,109559809,1313389,9241953638,2956982948,478132,20314694265,5721626416,1,4,1,1,6,3,0,0,0,118,61,349367387467
keda_p0_hpa15_d0%0,378784,3316852,727676,90881984,166684345,112207913,1070734,11826572375,2956827712,382612,19921316103,5721158227,1,4,1,1,6,3,0,0,0,118,61,349334763323
keda_p0_hpa15_d100%150,105076067,819827222,448702336,86383454,173700309,113248425,23773045,9823638328,3105374039,424705,18474934927,6008689731,1,4,1,1,6,3,104,819,447,118,61,366838298276
keda_p0_hpa15_d100%150,102891836,779569819,452159951,89243068,2131425380,127622016,10064095,10777386898,3208045890,390035,20570320068,6207441243,1,4,1,1,6,3,102,778,450,118,61,378972063200
keda_p0_hpa15_d3000%5000,4302110144,27369135461,14336015324,86753674,136400239,105830485,201529490,31666661118,12517494316,512479,69386081323,24215765692,1,4,1,1,6,3,4301,27368,14334,118,61,1477512833633
keda_p0_hpa15_d500%1000,510835213,5270300613,2688986288,82503043,156500766,105341623,13011928,117088174100,5679621096,417673,129267892109,10989408287,1,4,1,1,6,3,510,5269,2687,118,61,670652480256
keda_p0_hpa15_d500%1000,621107749,5083017511,2726407338,90978913,186539164,110216768,3198643,11780713418,3503134512,488838,18603889889,6777991163,1,4,1,1,6,3,620,5082,2725,118,61,413797403600
keda_p0_hpa15_d5000%10000,5451676114,50303420288,27322890215,85203500,195011010,107762251,46518880,69239738549,20111653923,444002,108500413929,38906143893,1,4,1,1,6,3,5450,50302,27321,118,61,2373603941137
keda_p0_hpa15_d5000%10000,6059680552,50986532219,27254064922,89889084,159354682,105428720,427535132,76020548209,19349280846,588115,109994836116,37431491256,1,4,1,1,6,3,6058,50985,27252,118,61,2283632565213
keda_p0_hpa15_d5000%10000,5740656211,51698299954,26900494230,86748919,182999908,107378049,239401231,70707386628,20164158791,297881,106662899416,39008306801,1,4,1,1,6,3,5738,51697,26899,118,61,2379849854519
keda_p0_hpa30_d0%0,375174,3688821,754244,88079931,161181629,108038210,1263272,11278778948,3427803830,401716,25973089392,6632792933,1,4,1,1,6,3,0,0,0,118,61,404931263022
